  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1967-07,9.01,7.65,4.94,5.17,11.48
1967-08,2.09,0.12,-2.43,2.24,1.35
1967-09,8.35,4.8,8.99,6.41,4.97
1967-10,-0.74,-3.2,-2.07,-5.9,-1.36
1967-11,-0.19,0.22,-0.04,1.5,0.15
1967-12,7.87,7.94,9.74,1.75,9.18
1968-01,4.05,1.1,-3.47,-5.26,6.09
1968-02,-4.8,-5.64,-8.74,-5.4,-4.58
1968-03,0.1,-1.65,-1.12,-0.16,-1.32
1968-04,16.08,12.37,16.82,11,14.48
1968-05,11.51,7.32,9.16,5.75,11.22
1968-06,1.5,2.16,-1.79,1.01,2.42
1968-07,-2.85,-2.49,-6.8,-3.75,-0.92
1968-08,4.36,3.13,2.39,2.11,4.31
1968-09,7.92,5.46,6.48,1.59,9.67
1968-10,2.18,0.55,-2.42,-0.47,0.77
1968-11,6.47,7.26,7.87,8.47,8.07
1968-12,0.48,0.68,-0.64,-0.64,0.64
